iris_offset_left,iris_offset_right,iris_offset_top,iris_offset_bottom,label
0.143,0.786,0.328,0.373,left
0.139,0.736,0.301,0.384,left
0.15,0.884,0.344,0.339,left
0.11,0.794,0.321,0.341,left
0.116,0.815,0.319,0.315,left
0.107,0.762,0.342,0.325,left
0.074,0.784,0.365,0.312,left
0.101,0.892,0.344,0.383,left
0.083,0.705,0.357,0.353,left
0.147,0.856,0.348,0.303,left
0.057,0.881,0.371,0.356,left
0.109,0.793,0.307,0.398,left
0.127,0.828,0.353,0.304,left
0.138,0.865,0.35,0.391,left
0.107,0.838,0.334,0.329,left
0.141,0.87,0.3,0.345,left
0.141,0.827,0.399,0.398,left
0.077,0.898,0.342,0.338,left
0.115,0.8,0.38,0.367,left
0.132,0.76,0.359,0.359,left
0.102,0.842,0.314,0.315,left
0.14,0.817,0.363,0.369,left
0.142,0.824,0.366,0.304,left
0.087,0.744,0.371,0.368,left
0.128,0.723,0.351,0.399,left
0.079,0.751,0.344,0.361,left
0.068,0.727,0.306,0.324,left
0.093,0.718,0.372,0.33,left
0.118,0.896,0.369,0.345,left
0.091,0.767,0.361,0.329,left
0.127,0.711,0.385,0.375,left
0.092,0.843,0.379,0.315,left
0.11,0.762,0.34,0.386,left
0.126,0.708,0.395,0.324,left
0.109,0.867,0.301,0.329,left
0.083,0.77,0.341,0.307,left
0.082,0.842,0.343,0.314,left
0.07,0.885,0.346,0.306,left
0.096,0.725,0.394,0.334,left
0.129,0.887,0.398,0.342,left
0.111,0.865,0.376,0.379,left
0.112,0.819,0.346,0.383,left
0.124,0.761,0.396,0.302,left
0.116,0.775,0.3,0.301,left
0.146,0.8,0.358,0.331,left
0.142,0.78,0.315,0.325,left
0.1,0.843,0.393,0.384,left
0.1,0.892,0.308,0.331,left
0.14,0.769,0.367,0.312,left
0.118,0.843,0.389,0.38,left
0.834,0.118,0.332,0.392,right
0.825,0.067,0.372,0.379,right
0.735,0.051,0.309,0.351,right
0.815,0.107,0.376,0.36,right
0.707,0.073,0.339,0.359,right
0.839,0.147,0.301,0.375,right
0.888,0.143,0.337,0.331,right
0.886,0.09,0.356,0.386,right
0.781,0.098,0.319,0.348,right
0.864,0.126,0.32,0.4,right
0.897,0.113,0.383,0.321,right
0.814,0.08,0.339,0.31,right
0.868,0.087,0.313,0.324,right
0.823,0.072,0.308,0.306,right
0.727,0.079,0.351,0.349,right
0.865,0.146,0.349,0.359,right
0.732,0.078,0.387,0.349,right
0.836,0.13,0.389,0.319,right
0.87,0.111,0.386,0.329,right
0.881,0.068,0.357,0.358,right
0.737,0.139,0.344,0.337,right
0.709,0.064,0.383,0.379,right
0.752,0.131,0.327,0.301,right
0.835,0.056,0.327,0.387,right
0.747,0.123,0.319,0.368,right
0.876,0.068,0.358,0.375,right
0.887,0.145,0.324,0.352,right
0.825,0.119,0.3,0.345,right
0.718,0.102,0.346,0.353,right
0.88,0.071,0.353,0.369,right
0.879,0.107,0.365,0.369,right
0.864,0.086,0.34,0.373,right
0.882,0.094,0.316,0.328,right
0.79,0.089,0.301,0.341,right
0.874,0.12,0.304,0.317,right
0.88,0.078,0.392,0.336,right
0.727,0.109,0.329,0.381,right
0.742,0.077,0.377,0.32,right
0.826,0.091,0.379,0.379,right
0.864,0.119,0.385,0.311,right
0.883,0.128,0.351,0.303,right
0.895,0.097,0.362,0.366,right
0.824,0.106,0.353,0.337,right
0.821,0.064,0.35,0.37,right
0.847,0.115,0.388,0.387,right
0.896,0.124,0.329,0.385,right
0.795,0.147,0.376,0.334,right
0.884,0.118,0.359,0.341,right
0.858,0.074,0.323,0.316,right
0.761,0.12,0.364,0.324,right
0.321,0.372,0.091,0.868,up
0.369,0.359,0.085,0.811,up
0.363,0.337,0.135,0.843,up
0.375,0.384,0.076,0.803,up
0.308,0.381,0.127,0.828,up
0.391,0.372,0.098,0.819,up
0.391,0.351,0.096,0.753,up
0.372,0.322,0.107,0.786,up
0.383,0.355,0.125,0.859,up
0.331,0.309,0.068,0.703,up
0.343,0.366,0.098,0.781,up
0.305,0.351,0.098,0.862,up
0.381,0.312,0.097,0.86,up
0.347,0.325,0.134,0.88,up
0.385,0.301,0.132,0.763,up
0.398,0.394,0.131,0.707,up
0.324,0.321,0.124,0.866,up
0.32,0.315,0.094,0.864,up
0.305,0.393,0.105,0.719,up
0.339,0.39,0.054,0.825,up
0.334,0.316,0.12,0.759,up
0.349,0.313,0.131,0.718,up
0.342,0.305,0.139,0.77,up
0.362,0.338,0.141,0.854,up
0.351,0.324,0.096,0.824,up
0.385,0.372,0.136,0.855,up
0.353,0.361,0.058,0.705,up
0.384,0.387,0.095,0.873,up
0.38,0.352,0.066,0.794,up
0.374,0.368,0.102,0.854,up
0.307,0.337,0.073,0.812,up
0.366,0.393,0.087,0.821,up
0.389,0.4,0.101,0.774,up
0.372,0.372,0.084,0.714,up
0.397,0.325,0.139,0.833,up
0.315,0.351,0.065,0.733,up
0.351,0.339,0.109,0.806,up
0.322,0.391,0.148,0.731,up
0.33,0.337,0.08,0.733,up
0.396,0.301,0.13,0.766,up
0.32,0.388,0.14,0.786,up
0.336,0.379,0.083,0.876,up
0.301,0.363,0.139,0.855,up
0.374,0.319,0.067,0.856,up
0.385,0.343,0.089,0.892,up
0.378,0.378,0.094,0.849,up
0.396,0.334,0.144,0.804,up
0.316,0.332,0.13,0.877,up
0.347,0.319,0.131,0.864,up
0.366,0.365,0.095,0.855,up
0.364,0.383,0.829,0.149,down
0.398,0.344,0.729,0.068,down
0.308,0.361,0.866,0.064,down
0.356,0.366,0.879,0.064,down
0.388,0.318,0.795,0.131,down
0.393,0.355,0.852,0.138,down
0.314,0.342,0.773,0.141,down
0.362,0.385,0.794,0.068,down
0.302,0.312,0.748,0.052,down
0.369,0.367,0.853,0.105,down
0.325,0.306,0.852,0.088,down
0.378,0.346,0.839,0.072,down
0.341,0.34,0.833,0.117,down
0.372,0.337,0.738,0.084,down
0.316,0.333,0.839,0.086,down
0.351,0.351,0.887,0.06,down
0.306,0.304,0.846,0.1,down
0.326,0.329,0.853,0.123,down
0.385,0.314,0.898,0.113,down
0.31,0.345,0.865,0.14,down
0.366,0.394,0.722,0.099,down
0.361,0.369,0.876,0.105,down
0.368,0.347,0.868,0.131,down
0.321,0.386,0.703,0.075,down
0.381,0.345,0.781,0.069,down
0.305,0.382,0.823,0.067,down
0.327,0.393,0.827,0.055,down
0.319,0.383,0.885,0.104,down
0.308,0.386,0.765,0.132,down
0.318,0.376,0.754,0.076,down
