2025-07-31 16:58:48,801 - INFO - [GAZE] Session: session_9888 | Iris: [0.0221, -0.0219, -0.0068, -0.0017] | Prediction: up
2025-07-31 16:58:48,893 - INFO - [GAZE] Session: session_9888 | Iris: [0.0236, -0.0235, -0.0043, -0.0037] | Prediction: up
2025-07-31 16:58:48,979 - INFO - [GAZE] Session: session_9888 | Iris: [0.023, -0.0243, -0.0051, -0.0025] | Prediction: up
2025-07-31 16:58:49,063 - INFO - [GAZE] Session: session_9888 | Iris: [0.0243, -0.0238, -0.0038, -0.0033] | Prediction: up
2025-07-31 16:58:49,149 - INFO - [GAZE] Session: session_9888 | Iris: [0.0261, -0.0243, -0.0047, -0.0018] | Prediction: up
2025-07-31 16:58:49,242 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.0253, -0.0043, -0.0028] | Prediction: up
2025-07-31 16:58:49,334 - INFO - [GAZE] Session: session_9888 | Iris: [0.0255, -0.0233, 0.0015, -0.0087] | Prediction: up
2025-07-31 16:58:49,437 - INFO - [GAZE] Session: session_9888 | Iris: [0.0195, -0.0237, 0.003, -0.0093] | Prediction: up
2025-07-31 16:58:49,516 - INFO - [GAZE] Session: session_9888 | Iris: [0.0233, -0.0272, 0.0008, -0.0126] | Prediction: up
2025-07-31 16:58:49,603 - INFO - [GAZE] Session: session_9888 | Iris: [0.0223, -0.0248, 0.0018, -0.013] | Prediction: up
2025-07-31 16:58:49,692 - INFO - [GAZE] Session: session_9888 | Iris: [0.0229, -0.0255, 0.0027, -0.0151] | Prediction: up
2025-07-31 16:58:49,779 - INFO - [GAZE] Session: session_9888 | Iris: [0.0239, -0.0258, 0.0015, -0.0137] | Prediction: up
2025-07-31 16:58:49,865 - INFO - [GAZE] Session: session_9888 | Iris: [0.0274, -0.0265, 0.0039, -0.0116] | Prediction: up
2025-07-31 16:58:49,945 - INFO - [GAZE] Session: session_9888 | Iris: [0.0247, -0.0144, 0.0069, -0.0062] | Prediction: up
2025-07-31 16:58:50,034 - INFO - [GAZE] Session: session_9888 | Iris: [0.0259, -0.0237, 0.0001, -0.0078] | Prediction: up
2025-07-31 16:58:50,118 - INFO - [GAZE] Session: session_9888 | Iris: [0.0227, -0.0256, -0.004, -0.0089] | Prediction: up
2025-07-31 16:58:50,212 - INFO - [GAZE] Session: session_9888 | Iris: [0.0218, -0.0247, -0.0076, -0.0038] | Prediction: up
2025-07-31 16:58:50,299 - INFO - [GAZE] Session: session_9888 | Iris: [0.0213, -0.0255, -0.0081, -0.0042] | Prediction: up
2025-07-31 16:58:50,402 - INFO - [GAZE] Session: session_9888 | Iris: [0.0216, -0.0257, -0.01, -0.0038] | Prediction: up
2025-07-31 16:58:50,516 - INFO - [GAZE] Session: session_9888 | Iris: [0.0207, -0.0273, -0.0089, -0.0028] | Prediction: up
2025-07-31 16:58:50,592 - INFO - [GAZE] Session: session_9888 | Iris: [0.0211, -0.0268, -0.0094, -0.0056] | Prediction: up
2025-07-31 16:58:50,671 - INFO - [GAZE] Session: session_9888 | Iris: [0.0209, -0.0261, -0.0094, -0.0037] | Prediction: up
2025-07-31 16:58:50,747 - INFO - [GAZE] Session: session_9888 | Iris: [0.0208, -0.0255, -0.0104, -0.0031] | Prediction: up
2025-07-31 16:58:50,833 - INFO - [GAZE] Session: session_9888 | Iris: [0.0213, -0.025, -0.0099, -0.0028] | Prediction: up
2025-07-31 16:58:50,913 - INFO - [GAZE] Session: session_9888 | Iris: [0.022, -0.026, -0.0096, -0.0084] | Prediction: up
2025-07-31 16:58:51,010 - INFO - [GAZE] Session: session_9888 | Iris: [0.0218, -0.0264, -0.0095, -0.0063] | Prediction: up
2025-07-31 16:58:51,090 - INFO - [GAZE] Session: session_9888 | Iris: [0.0228, -0.0244, -0.0105, -0.0021] | Prediction: up
2025-07-31 16:58:51,175 - INFO - [GAZE] Session: session_9888 | Iris: [0.0227, -0.0271, -0.0098, -0.0049] | Prediction: up
2025-07-31 16:58:51,266 - INFO - [GAZE] Session: session_9888 | Iris: [0.023, -0.0261, -0.0099, -0.002] | Prediction: up
2025-07-31 16:58:51,344 - INFO - [GAZE] Session: session_9888 | Iris: [0.0226, -0.0275, -0.01, -0.0015] | Prediction: up
2025-07-31 16:58:51,426 - INFO - [GAZE] Session: session_9888 | Iris: [0.022, -0.026, -0.0096, -0.0022] | Prediction: up
2025-07-31 16:58:51,501 - INFO - [GAZE] Session: session_9888 | Iris: [0.0224, -0.0262, -0.0095, -0.0018] | Prediction: up
2025-07-31 16:58:51,597 - INFO - [GAZE] Session: session_9888 | Iris: [0.0222, -0.027, -0.0098, -0.0034] | Prediction: up
2025-07-31 16:58:51,693 - INFO - [GAZE] Session: session_9888 | Iris: [0.0222, -0.0262, -0.0088, -0.001] | Prediction: up
2025-07-31 16:58:51,761 - INFO - [GAZE] Session: session_9888 | Iris: [0.0234, -0.0282, -0.0092, -0.0011] | Prediction: up
2025-07-31 16:58:51,818 - INFO - [GAZE] Session: session_9888 | Iris: [0.0246, -0.024, -0.0074, -0.0029] | Prediction: up
2025-07-31 16:58:51,902 - INFO - [GAZE] Session: session_9888 | Iris: [0.0253, -0.024, -0.0075, -0.0047] | Prediction: up
2025-07-31 16:58:51,981 - INFO - [GAZE] Session: session_9888 | Iris: [0.0252, -0.0258, -0.0051, 0.0009] | Prediction: up
2025-07-31 16:58:52,090 - INFO - [GAZE] Session: session_9888 | Iris: [0.0251, -0.0266, -0.0053, 0] | Prediction: up
2025-07-31 16:58:52,193 - INFO - [GAZE] Session: session_9888 | Iris: [0.0251, -0.0259, -0.0054, 0.0008] | Prediction: up
2025-07-31 16:58:52,299 - INFO - [GAZE] Session: session_9888 | Iris: [0.0253, -0.0267, -0.0043, 0.0005] | Prediction: up
2025-07-31 16:58:52,406 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.0269, -0.006, 0.0021] | Prediction: up
2025-07-31 16:58:52,515 - INFO - [GAZE] Session: session_9888 | Iris: [0.0245, -0.027, -0.0052, 0.0012] | Prediction: up
2025-07-31 16:58:52,618 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.0268, -0.0047, 0.0011] | Prediction: up
2025-07-31 16:58:52,716 - INFO - [GAZE] Session: session_9888 | Iris: [0.0257, -0.0273, -0.0055, -0.0004] | Prediction: up
2025-07-31 16:58:52,825 - INFO - [GAZE] Session: session_9888 | Iris: [0.0242, -0.026, -0.0066, -0.0029] | Prediction: up
2025-07-31 16:58:52,945 - INFO - [GAZE] Session: session_9888 | Iris: [0.0242, -0.0252, -0.007, -0.0059] | Prediction: up
2025-07-31 16:58:53,048 - INFO - [GAZE] Session: session_9888 | Iris: [0.0232, -0.0244, -0.0075, -0.0051] | Prediction: up
2025-07-31 16:58:53,145 - INFO - [GAZE] Session: session_9888 | Iris: [0.0223, -0.0243, -0.008, -0.0059] | Prediction: up
2025-07-31 16:58:53,236 - INFO - [GAZE] Session: session_9888 | Iris: [0.0231, -0.0245, -0.0089, -0.0043] | Prediction: up
2025-07-31 16:58:53,365 - INFO - [GAZE] Session: session_9888 | Iris: [0.0232, -0.0242, -0.0085, -0.0039] | Prediction: up
2025-07-31 16:58:53,466 - INFO - [GAZE] Session: session_9888 | Iris: [0.0241, -0.0287, -0.0068, -0.0028] | Prediction: up
2025-07-31 16:58:53,570 - INFO - [GAZE] Session: session_9888 | Iris: [0.0197, -0.0271, -0.0057, -0.0028] | Prediction: up
2025-07-31 16:58:53,676 - INFO - [GAZE] Session: session_9888 | Iris: [0.0205, -0.0305, -0.005, -0.0074] | Prediction: up
2025-07-31 16:58:53,772 - INFO - [GAZE] Session: session_9888 | Iris: [0.0206, -0.0298, -0.0039, -0.0078] | Prediction: up
2025-07-31 16:58:54,027 - INFO - [GAZE] Session: session_9888 | Iris: [0.0207, -0.0288, -0.0037, -0.0103] | Prediction: up
2025-07-31 16:58:54,126 - INFO - [GAZE] Session: session_9888 | Iris: [0.0225, -0.0139, -0.0013, -0.0094] | Prediction: up
2025-07-31 16:58:54,198 - INFO - [GAZE] Session: session_9888 | Iris: [0.0192, -0.0123, -0.0006, -0.0104] | Prediction: up
2025-07-31 16:58:54,284 - INFO - [GAZE] Session: session_9888 | Iris: [0.0211, -0.0175, 0.0006, -0.0116] | Prediction: up
2025-07-31 16:58:54,384 - INFO - [GAZE] Session: session_9888 | Iris: [0.0178, -0.0094, 0.0013, -0.0081] | Prediction: up
2025-07-31 16:58:54,472 - INFO - [GAZE] Session: session_9888 | Iris: [0.0179, -0.0101, 0.0015, -0.003] | Prediction: up
2025-07-31 16:58:54,561 - INFO - [GAZE] Session: session_9888 | Iris: [0.0164, -0.0143, 0.0027, -0.0109] | Prediction: up
2025-07-31 16:58:54,670 - INFO - [GAZE] Session: session_9888 | Iris: [0.0143, -0.0151, 0.0008, -0.0086] | Prediction: up
2025-07-31 16:58:54,770 - INFO - [GAZE] Session: session_9888 | Iris: [0.0192, -0.0129, 0.002, -0.0065] | Prediction: up
2025-07-31 16:58:54,869 - INFO - [GAZE] Session: session_9888 | Iris: [0.0196, -0.0172, 0.0006, -0.0111] | Prediction: up
2025-07-31 16:58:54,982 - INFO - [GAZE] Session: session_9888 | Iris: [0.0181, -0.0157, 0.0007, -0.0108] | Prediction: up
2025-07-31 16:58:55,102 - INFO - [GAZE] Session: session_9888 | Iris: [0.0198, -0.0097, -0.0009, -0.0093] | Prediction: up
2025-07-31 16:58:55,235 - INFO - [GAZE] Session: session_9888 | Iris: [0.0198, -0.0138, 0.0001, -0.0092] | Prediction: up
2025-07-31 16:58:55,327 - INFO - [GAZE] Session: session_9888 | Iris: [0.0199, -0.0068, -0.0008, -0.0076] | Prediction: up
2025-07-31 16:58:55,395 - INFO - [GAZE] Session: session_9888 | Iris: [0.0241, -0.0208, 0.0046, -0.013] | Prediction: up
2025-07-31 16:58:55,463 - INFO - [GAZE] Session: session_9888 | Iris: [0.0309, -0.0149, 0.0054, -0.0097] | Prediction: up
2025-07-31 16:58:55,538 - INFO - [GAZE] Session: session_9888 | Iris: [0.027, -0.0029, 0.0028, -0.0067] | Prediction: up
2025-07-31 16:58:55,611 - INFO - [GAZE] Session: session_9888 | Iris: [0.0196, -0.0276, -0.0006, -0.0135] | Prediction: up
2025-07-31 16:58:55,663 - INFO - [GAZE] Session: session_9888 | Iris: [0.0213, -0.029, -0.0003, -0.0108] | Prediction: up
2025-07-31 16:58:55,756 - INFO - [GAZE] Session: session_9888 | Iris: [0.0217, -0.0295, -0.0008, -0.0095] | Prediction: up
2025-07-31 16:58:55,848 - INFO - [GAZE] Session: session_9888 | Iris: [0.0226, -0.0254, -0.0029, -0.0059] | Prediction: up
2025-07-31 16:58:55,930 - INFO - [GAZE] Session: session_9888 | Iris: [0.0252, -0.0251, 0.0005, -0.0056] | Prediction: up
2025-07-31 16:58:56,116 - INFO - [GAZE] Session: session_9888 | Iris: [0.0261, -0.0268, 0.0014, -0.0059] | Prediction: up
2025-07-31 16:58:56,235 - INFO - [GAZE] Session: session_9888 | Iris: [0.0236, -0.0246, -0.004, -0.0069] | Prediction: up
2025-07-31 16:58:56,324 - INFO - [GAZE] Session: session_9888 | Iris: [0.0227, -0.0273, -0.0039, -0.0067] | Prediction: up
2025-07-31 16:58:56,394 - INFO - [GAZE] Session: session_9888 | Iris: [0.024, -0.0254, -0.004, -0.0066] | Prediction: up
2025-07-31 16:58:56,441 - INFO - [GAZE] Session: session_9888 | Iris: [0.0231, -0.0241, -0.0038, -0.0064] | Prediction: up
2025-07-31 16:58:56,494 - INFO - [GAZE] Session: session_9888 | Iris: [0.0239, -0.0254, -0.0041, -0.006] | Prediction: up
2025-07-31 16:58:56,541 - INFO - [GAZE] Session: session_9888 | Iris: [0.0235, -0.0255, -0.0049, -0.0052] | Prediction: up
2025-07-31 16:58:56,599 - INFO - [GAZE] Session: session_9888 | Iris: [0.0243, -0.0246, -0.0026, -0.0058] | Prediction: up
2025-07-31 16:58:56,650 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.0246, -0.0018, -0.005] | Prediction: up
2025-07-31 16:58:56,698 - INFO - [GAZE] Session: session_9888 | Iris: [0.0253, -0.024, -0.0026, -0.0041] | Prediction: up
2025-07-31 16:58:56,750 - INFO - [GAZE] Session: session_9888 | Iris: [0.0249, -0.0238, -0.0051, -0.0058] | Prediction: up
2025-07-31 16:58:56,798 - INFO - [GAZE] Session: session_9888 | Iris: [0.0235, -0.0246, -0.0056, -0.0063] | Prediction: up
2025-07-31 16:58:56,864 - INFO - [GAZE] Session: session_9888 | Iris: [0.0254, -0.0249, -0.0024, -0.0053] | Prediction: up
2025-07-31 16:58:56,964 - INFO - [GAZE] Session: session_9888 | Iris: [0.0286, -0.0219, 0.003, -0.0006] | Prediction: up
2025-07-31 16:58:57,094 - INFO - [GAZE] Session: session_9888 | Iris: [0.0239, -0.0259, -0.0056, -0.0077] | Prediction: up
2025-07-31 16:58:57,232 - INFO - [GAZE] Session: session_9888 | Iris: [0.0226, -0.0246, -0.0075, -0.0066] | Prediction: up
2025-07-31 16:58:57,323 - INFO - [GAZE] Session: session_9888 | Iris: [0.0219, -0.0248, -0.0067, -0.0054] | Prediction: up
2025-07-31 16:59:36,002 - INFO - [GAZE] Session: session_9888 | Iris: [0.0217, -0.031, -0.0045, -0.0062] | Prediction: up
2025-07-31 16:59:36,167 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.0286, -0.0059, -0.0093] | Prediction: up
2025-07-31 16:59:36,258 - INFO - [GAZE] Session: session_9888 | Iris: [0.0262, -0.0311, -0.0071, -0.0049] | Prediction: up
2025-07-31 16:59:40,393 - INFO - [GAZE] Session: session_9888 | Iris: [0.0221, -0.0326, -0.0055, -0.0108] | Prediction: up
2025-07-31 16:59:40,474 - INFO - [GAZE] Session: session_9888 | Iris: [0.0232, -0.0308, -0.0058, -0.0011] | Prediction: up
2025-07-31 16:59:40,555 - INFO - [GAZE] Session: session_9888 | Iris: [0.0237, -0.0298, -0.0074, -0.0007] | Prediction: up
2025-07-31 16:59:40,636 - INFO - [GAZE] Session: session_9888 | Iris: [0.0238, -0.0289, -0.0061, -0.001] | Prediction: up
2025-07-31 16:59:40,717 - INFO - [GAZE] Session: session_9888 | Iris: [0.0237, -0.0301, -0.0074, -0.0027] | Prediction: up
2025-07-31 16:59:40,805 - INFO - [GAZE] Session: session_9888 | Iris: [0.0238, -0.0326, -0.0066, -0.0027] | Prediction: up
2025-07-31 16:59:40,891 - INFO - [GAZE] Session: session_9888 | Iris: [0.023, -0.0309, -0.0063, -0.001] | Prediction: up
2025-07-31 16:59:40,987 - INFO - [GAZE] Session: session_9888 | Iris: [0.024, -0.0305, -0.0082, -0.0054] | Prediction: up
2025-07-31 16:59:41,085 - INFO - [GAZE] Session: session_9888 | Iris: [0.0255, -0.0305, -0.0062, -0.0048] | Prediction: up
2025-07-31 16:59:41,166 - INFO - [GAZE] Session: session_9888 | Iris: [0.0245, -0.0304, -0.0062, -0.0044] | Prediction: up
2025-07-31 16:59:41,254 - INFO - [GAZE] Session: session_9888 | Iris: [0.0248, -0.0292, -0.0067, -0.0067] | Prediction: up
2025-07-31 16:59:41,338 - INFO - [GAZE] Session: session_9888 | Iris: [0.0241, -0.0313, -0.0066, -0.0051] | Prediction: up
2025-07-31 16:59:41,418 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.0308, -0.0056, -0.0026] | Prediction: up
2025-07-31 16:59:41,503 - INFO - [GAZE] Session: session_9888 | Iris: [0.0248, -0.0317, -0.006, -0.0013] | Prediction: up
2025-07-31 16:59:41,611 - INFO - [GAZE] Session: session_9888 | Iris: [0.0246, -0.0301, -0.0056, -0.0071] | Prediction: up
2025-07-31 16:59:41,835 - INFO - [GAZE] Session: session_9888 | Iris: [0.0239, -0.0307, -0.0057, -0.0025] | Prediction: up
2025-07-31 16:59:41,953 - INFO - [GAZE] Session: session_9888 | Iris: [0.0249, -0.0324, -0.0063, -0.004] | Prediction: up
2025-07-31 16:59:42,026 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.0326, -0.0073, -0.0053] | Prediction: up
2025-07-31 16:59:42,097 - INFO - [GAZE] Session: session_9888 | Iris: [0.0254, -0.0295, -0.0082, -0.0087] | Prediction: up
2025-07-31 16:59:42,163 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.03, -0.0071, -0.0051] | Prediction: up
2025-07-31 16:59:42,229 - INFO - [GAZE] Session: session_9888 | Iris: [0.0246, -0.03, -0.0077, -0.006] | Prediction: up
2025-07-31 16:59:42,292 - INFO - [GAZE] Session: session_9888 | Iris: [0.0248, -0.0294, -0.0072, -0.0054] | Prediction: up
2025-07-31 16:59:42,404 - INFO - [GAZE] Session: session_9888 | Iris: [0.0241, -0.0306, -0.007, -0.0084] | Prediction: up
2025-07-31 16:59:42,482 - INFO - [GAZE] Session: session_9888 | Iris: [0.0241, -0.0305, -0.0065, -0.008] | Prediction: up
2025-07-31 16:59:42,541 - INFO - [GAZE] Session: session_9888 | Iris: [0.0247, -0.0302, -0.0069, -0.0086] | Prediction: up
2025-07-31 16:59:42,602 - INFO - [GAZE] Session: session_9888 | Iris: [0.0245, -0.0297, -0.0067, -0.0088] | Prediction: up
2025-07-31 16:59:42,663 - INFO - [GAZE] Session: session_9888 | Iris: [0.025, -0.0304, -0.0068, -0.0056] | Prediction: up
2025-07-31 16:59:42,742 - INFO - [GAZE] Session: session_9888 | Iris: [0.0239, -0.0304, -0.0067, -0.007] | Prediction: up
2025-07-31 16:59:42,825 - INFO - [GAZE] Session: session_9888 | Iris: [0.0247, -0.031, -0.0078, -0.003] | Prediction: up
2025-07-31 16:59:42,920 - INFO - [GAZE] Session: session_9888 | Iris: [0.0249, -0.0298, -0.0074, -0.0061] | Prediction: up
2025-07-31 16:59:43,000 - INFO - [GAZE] Session: session_9888 | Iris: [0.0247, -0.0311, -0.0068, -0.0051] | Prediction: up
2025-07-31 16:59:43,055 - INFO - [GAZE] Session: session_9888 | Iris: [0.0243, -0.0299, -0.0062, -0.0061] | Prediction: up
2025-07-31 16:59:43,158 - INFO - [GAZE] Session: session_9888 | Iris: [0.0245, -0.031, -0.0063, -0.006] | Prediction: up
2025-07-31 16:59:43,239 - INFO - [GAZE] Session: session_9888 | Iris: [0.0235, -0.0308, -0.0055, -0.0047] | Prediction: up
2025-07-31 16:59:43,318 - INFO - [GAZE] Session: session_9888 | Iris: [0.0213, -0.03, -0.005, 0.0005] | Prediction: up
2025-07-31 16:59:43,380 - INFO - [GAZE] Session: session_9888 | Iris: [0.0212, -0.0306, -0.005, 0.0018] | Prediction: up
2025-07-31 16:59:43,448 - INFO - [GAZE] Session: session_9888 | Iris: [0.0227, -0.029, -0.0044, 0.0027] | Prediction: up
2025-07-31 16:59:43,571 - INFO - [GAZE] Session: session_9888 | Iris: [0.0229, -0.0294, -0.0053, 0.0017] | Prediction: up
2025-07-31 16:59:43,645 - INFO - [GAZE] Session: session_9888 | Iris: [0.0237, -0.0263, -0.0069, -0.0086] | Prediction: up
2025-07-31 16:59:43,723 - INFO - [GAZE] Session: session_9888 | Iris: [0.0272, -0.0262, -0.0071, -0.0077] | Prediction: up
2025-07-31 16:59:43,808 - INFO - [GAZE] Session: session_9888 | Iris: [0.0276, -0.0251, -0.0047, -0.0048] | Prediction: up
2025-07-31 16:59:43,898 - INFO - [GAZE] Session: session_9888 | Iris: [0.0273, -0.0272, -0.0048, -0.0056] | Prediction: up
2025-07-31 16:59:43,974 - INFO - [GAZE] Session: session_9888 | Iris: [0.0268, -0.0267, -0.0018, -0.007] | Prediction: up
2025-07-31 16:59:44,043 - INFO - [GAZE] Session: session_9888 | Iris: [0.0262, -0.0272, -0.0039, -0.0111] | Prediction: up
2025-07-31 16:59:44,117 - INFO - [GAZE] Session: session_9888 | Iris: [0.0254, -0.0245, -0.0019, -0.0022] | Prediction: up
